product,cost_price,supplier
4K Monitor,180.00,TechNova Inc
Air Purifier,65.00,HomeCraft Goods
Baseball Cap,6.00,Threadline Apparel
Bluetooth Speaker,35.00,TechNova Inc
Business Guide,8.50,Inkwell Press
Camping Tent,75.00,PeakGear Outdoors
Coffee Maker,30.00,HomeCraft Goods
Cookbook,7.00,Inkwell Press
Cutting Board Set,14.00,HomeCraft Goods
Denim Jacket,28.00,Threadline Apparel
Desk Lamp,11.00,HomeCraft Goods
Dumbbell Set,40.00,PeakGear Outdoors
Face Serum,12.00,Glow Beauty Co
Graphic T-Shirt,5.50,Threadline Apparel
Kids Picture Book,4.50,Inkwell Press
Lip Balm Set,3.50,Glow Beauty Co
Makeup Brush Kit,9.00,Glow Beauty Co
Mechanical Keyboard,55.00,TechNova Inc
Mystery Novel,6.00,Inkwell Press
Perfume,22.00,Glow Beauty Co
Running Shoes,32.00,PeakGear Outdoors
Sci-Fi Anthology,6.50,Inkwell Press
Shampoo Bar,2.75,Glow Beauty Co
Smart Watch,120.00,TechNova Inc
Tennis Racket,38.00,PeakGear Outdoors
Throw Blanket,13.50,HomeCraft Goods
Water Bottle,4.00,HomeCraft Goods
Winter Coat,45.00,Threadline Apparel
Wireless Headphones,65.00,TechNova Inc
Yoga Mat,9.50,PeakGear Outdoors
